species	segmented
Ichnoviriform fumiferanae	yes
Tomato leaf curl Rajasthan virus	yes
Sida yellow vein Madurai virus	yes
Botryotinia fuckeliana partitivirus 1	yes
Tomato leaf curl Seychelles virus	yes
Orthotospovirus polygonianuli	yes
Penaeus vannamei nodavirus	yes
Radish leaf curl virus	yes
Ageratum yellow vein Hualian virus	yes
Abaca bunchy top virus	yes
Porcine picobirnavirus	yes
Kenaf leaf curl virus	yes
Allamanda leaf curl virus	yes
Rhynchosia golden mosaic Yucatan virus	yes
Alternaria alternata virus 1	yes
Rose cryptic virus 1	yes
Emilia yellow vein virus	yes
Mammarenavirus chapareense	yes
Tomato leaf curl Ghana virus	yes
Tomato leaf curl Cebu virus	yes
Tomato leaf curl Cotabato virus	yes
Tomato leaf curl Mindanao virus	yes
Mesta yellow vein mosaic Bahraich virus	yes
Gossypium punctatum mild leaf curl virus	yes
Beet cryptic virus 1	yes
Aquareovirus G	yes
Southern rice black-streaked dwarf virus	yes
Tomato leaf curl Palampur virus	yes
Chondrostereum purpureum cryptic virus 1	yes
Rhynchosia yellow mosaic virus	yes
Blainvillea yellow spot virus	yes
Sida common mosaic virus	yes
Sida yellow leaf curl virus	yes
Tomato common mosaic virus	yes
Tomato leaf distortion virus	yes
Tomato mild mosaic virus	yes
Jatropha leaf curl virus	yes
Epirus cherry virus	yes
Melandrium yellow fleck virus	yes
Tomato leaf curl Kumasi virus	yes
Tomato leaf curl Kerala virus	yes
Cucurbit chlorotic yellows virus	yes
Stretch Lagoon orbivirus	yes
Clerodendrum golden mosaic China virus	yes
Cassava virus C	yes
Tobacco yellow crinkle virus	yes
Flammulina velutipes browning virus	yes
Sweet potato leaf curl Lanzarote virus	yes
Tomato leaf curl Patna virus	yes
Gayfeather mild mottle virus	yes
Sunn hemp leaf distortion virus	yes
Raphanus sativus cryptic virus 3	yes
Carrot cryptic virus	yes
Bhendi yellow vein Bhubhaneswar virus	yes
Euphorbia yellow mosaic virus	yes
Alphachrysovirus aspergilli	yes
Orthobunyavirus tacaiumaense	yes
Okra mottle virus	yes
Pedilanthus leaf curl virus	yes
Cotton leaf curl Burewala virus	yes
Heterobasidion partitivirus 3	yes
Tomato leaf curl Sulawesi virus	yes
Phytophthora infestans RNA virus 1	yes
Lettuce chlorosis virus	yes
Malvastrum yellow mosaic Helshire virus	yes
Passionfruit severe leaf distortion virus	yes
Mammarenavirus lujoense	yes
Tomato yellow leaf distortion virus	yes
Sweet potato leaf curl Spain virus	yes
Sweet potato leaf curl Canary virus	yes
Ipomoea yellow vein virus	yes
Diodia vein chlorosis virus	yes
Sclerotinia sclerotiorum partitivirus S	yes
