genus	segmented
Tritimovirus	no
Barnavirus	no
Delislevirus	no
Lambdapapillomavirus	no
Vitivirus	no
Citexvirus	no
Foveavirus	no
Lymphocystivirus	no
Tepovirus	no
Byrnievirus	no
Phaeovirus	no
Yatapoxvirus	no
Oryzopoxvirus	no
Epsilonretrovirus	no
Qubevirus	no
Pecentumvirus	no
Epsilonpapillomavirus	no
Ravinvirus	no
Rymovirus	no
Ipomovirus	no
Victorivirus	no
Plasmavirus	no
Macluravirus	no
Orbivirus	no
Ampelovirus	no
Topocuvirus	no
Felispumavirus	no
Poacevirus	no
Betasatellite	no
Twortvirus	no
Phietavirus	no
Lwoffvirus	no
Alphaentomopoxvirus	no
Henipavirus	no
Moineauvirus	no
Robigovirus	no
Spbetavirus	no
Sendosyvirus	no
Fibrovirus	no
Longwoodvirus	no
Avastrovirus	no
Tremovirus	no
Kobuvirus	no
Erythroparvovirus	no
Torovirus	no
Brussowvirus	no
Omikronpapillomavirus	no
Olivavirus	no
Deltaentomopoxvirus	no
Betatetravirus	no
Betatorquevirus	no
Sapovirus	no
Raphidovirus	no
Maculavirus	no
Mardivirus	no
Equispumavirus	no
Biquartavirus	no
Pseudotevenvirus	no
Teschovirus	no
Villovirus	no
Citrivirus	no
Mycoflexivirus	no
Atadenovirus	no
Triavirus	no
Siovirus	no
Affertcholeramvirus	no
Banmivirus	no
Tiilvirus	no
Ascovirus	no
Betapartitivirus	no
Begomovirus	no
Phikzvirus	no
Psimunavirus	no
Botrexvirus	no
Betalipothrixvirus	no
Iridovirus	no
Perhabdovirus	no
Megalocytivirus	no
Stanholtvirus	no
Coccolithovirus	no
Peeveelvirus	no
Alphapermutotetravirus	no
Narnavirus	no
Vectrevirus	no
Colecusatellite	no
Bruynoghevirus	no
Aviadenovirus	no
Enamovirus	no
Rauchvirus	no
Vipivirus	no
Traversvirus	no
Zindervirus	no
Etapapillomavirus	no
Thetapapillomavirus	no
Bracoviriform	no
Rosenblumvirus	no
Marafivirus	no
Kostyavirus	no
Microwolfvirus	no
Chenonavirus	no
Corndogvirus	no
Avanivirus	no
Omegavirus	no
Bovispumavirus	no
Naesvirus	no
Sclerodarnavirus	no
Alphacarmotetravirus	no
Velarivirus	no
Elaviroid	no
Sprivivirus	no
Kayvirus	no
Haloferacalesvirus	no
Luteovirus	no
Cinqassovirus	no
Fischettivirus	no
Xipdecavirus	no
Iflavirus	no
Tulanevirus	no
Coetzeevirus	no
Captovirus	no
Sciuripoxvirus	no
Lessievirus	no
Alphafusellovirus	no
Tlsvirus	no
Tethysvirus	no
Biseptimavirus	no
Ishigurovirus	no
Hapunavirus	no
Yongloolinvirus	no
Bcepmuvirus	no
Menthavirus	no
Tiamatvirus	no
Alphaturrivirus	no
Jamesmcgillvirus	no
Dependoparvovirus	no
Cardoreovirus	no
Ryyoungvirus	no
Keylargovirus	no
Mitovirus	no
Hollowayvirus	no
Betacoronavirus	no
Paslahepevirus	no
Avihepevirus	no
Cequinquevirus	no
Siadenovirus	no
Salchichonvirus	no
Deltalipothrixvirus	no
Cervidpoxvirus	no
Polemovirus	no
Alphaendornavirus	no
Erbovirus	no
Chlamydiamicrovirus	no
Bicaudavirus	no
Lubbockvirus	no
Brambyvirus	no
Marnavirus	no
Emesvirus	no
Tigrvirus	no
Zetapapillomavirus	no
Betapapillomavirus	no
Gammapapillomavirus	no
Mupapillomavirus	no
Nupapillomavirus	no
Pipapillomavirus	no
Dybvigvirus	no
Betatectivirus	no
Whispovirus	no
Irtavirus	no
Alphapartitivirus	no
Chloriridovirus	no
Wbetavirus	no
Yuavirus	no
Prymnesiovirus	no
Rtpvirus	no
Gammapartitivirus	no
Bacillarnavirus	no
Betabaculovirus	no
Lolavirus	no
Liefievirus	no
Cheoctovirus	no
Prasinovirus	no
Tigunavirus	no
Baylorvirus	no
Chopinvirus	no
Senecavirus	no
Becurtovirus	no
Bielevirus	no
Svunavirus	no
Rockefellervirus	no
Wumpquatrovirus	no
Bafinivirus	no
Aresaunavirus	no
Bcepfunavirus	no
Voetvirus	no
Sopolycivirus	no
Wumptrevirus	no
Vespertiliovirus	no
Oshimavirus	no
Kuravirus	no
Epseptimavirus	no
Caulimovirus	no
Pukovnikvirus	no
Pipefishvirus	no
Tymovirus	no
Proboscivirus	no
Cecivirus	no
Colneyvirus	no
Brujitavirus	no
Mamastrovirus	no
Deltacoronavirus	no
Dhillonvirus	no
Invictavirus	no
Mooreparkvirus	no
Eragrovirus	no
Nyavirus	no
Dinodnavirus	no
Backyardiganvirus	no
Labyrnavirus	no
Sapelovirus	no
Alphatorquevirus	no
Iotatorquevirus	no
Avihepatovirus	no
Betafusellovirus	no
Gammacoronavirus	no
Marseillevirus	no
Clavavirus	no
Clecrusatellite	no
Circovirus	no
Firehammervirus	no
Gosmusatellite	no
Turncurtovirus	no
Anayavirus	no
Bronvirus	no
Ageyesisatellite	no
Plymouthvirus	no
Fletchervirus	no
Betaendornavirus	no
Cyclovirus	no
Brevidensovirus	no
Tunavirus	no
Divavirus	no
Chivirus	no
Betaguttavirus	no
Veracruzvirus	no
Gladiatorvirus	no
Keshuvirus	no
Pegunavirus	no
Socyvirus	no
Sinaivirus	no
Roymovirus	no
Kratiovirus	no
Schmidvirus	no
Benedictvirus	no
Kyungwonvirus	no
Hypovirus	no
Centapoxvirus	no
Donellivirus	no
Limestonevirus	no
Webervirus	no
Posavirus	no
Felipivirus	no
Rerduovirus	no
Petsuvirus	no
Moumouvirus	no
Mimivirus	no
Bocaparvovirus	no
Alphaspiravirus	no
Negevirus	no
Septimatrevirus	no
Rhopapillomavirus	no
Sigmapapillomavirus	no
Taupapillomavirus	no
Upsilonpapillomavirus	no
Phipapillomavirus	no
Chipapillomavirus	no
Psipapillomavirus	no
Omegapapillomavirus	no
Dyodeltapapillomavirus	no
Dyoepsilonpapillomavirus	no
Dyozetapapillomavirus	no
Dyoetapapillomavirus	no
Klementvirus	no
Derbicusvirus	no
Citlodavirus	no
Picardvirus	no
Shapirovirus	no
Silviavirus	no
Bluvavirus	no
Deltapolyomavirus	no
Capulavirus	no
Ephemerovirus	no
Dyoiotapapillomavirus	no
Cosavirus	no
Dyothetapapillomavirus	no
Alphapolyomavirus	no
Betapolyomavirus	no
Protoparvovirus	no
Mexirudivirus	no
Unaquatrovirus	no
Andromedavirus	no
Tredecimvirus	no
Harrisonburgvirus	no
Hepacivirus	no
Crocodylidpoxvirus	no
Pegivirus	no
Alphamesonivirus	no
Vespertilionpoxvirus	no
Aquamavirus	no
Dicipivirus	no
Megrivirus	no
Salivirus	no
Julieunavirus	no
Faithunavirus	no
Virtovirus	no
Prunevirus	no
Pandoravirus	no
Grablovirus	no
Platypuvirus	no
Chordovirus	no
Hunnivirus	no
Umbravirus	no
Turbidovirus	no
Mivedwarsatellite	no
Konstantinevirus	no
Pithovirus	no
Cofodevirus	no
Jerseyvirus	no
Lauvirus	no
Iteradensovirus	no
Saclayvirus	no
Mosavirus	no
Rafivirus	no
Porprismacovirus	no
Leishmaniavirus	no
Fionnbharthvirus	no
Avisivirus	no
Gallivirus	no
Oscivirus	no
Pasivirus	no
Passerivirus	no
Rosavirus	no
Tetraparvovirus	no
Ambidensovirus	no
Hepandensovirus	no
Penstyldensovirus	no
Cuevavirus	no
Dyokappapapillomavirus	no
Dyolambdapapillomavirus	no
Dyomupapillomavirus	no
Dyonupapillomavirus	no
Dyoomikronpapillomavirus	no
Dyopipapillomavirus	no
Dyorhopapillomavirus	no
Dyosigmapapillomavirus	no
Dyoxipapillomavirus	no
Icepovirus	no
Cripavirus	no
Orthobornavirus	no
